sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY7623910	mm10-1_2_0	3.0.2	3919	103765	937	406656601	98.70	91.80	98.70	84.90	97.30	98.80	95.20	86.00	5.80	4.50	75.60	73.70	0.50	81.30	15309	3088
4672STDY7623910	mm10-3_0_0	3.0.2	3910	104004	946	406656601	98.70	91.80	98.70	84.90	97.30	98.80	95.20	86.30	5.70	4.40	76.10	74.10	0.50	81.20	15816	3105
4672STDY7623911	mm10-1_2_0	3.0.2	4080	97662	781	398462469	98.70	88.00	98.60	84.50	96.50	98.70	94.40	87.90	4.30	7.40	76.20	74.10	0.70	89.30	16738	2476
4672STDY7623911	mm10-3_0_0	3.0.2	4078	97710	791	398462469	98.70	88.10	98.60	84.50	96.50	98.70	94.40	88.40	4.20	7.30	77.00	74.70	0.70	89.30	17360	2492
4672STDY7623912	mm10-1_2_0	3.0.2	4090	190339	842	778488896	98.60	92.60	98.30	84.60	96.50	98.50	94.30	88.00	4.30	7.40	76.20	74.20	0.70	88.80	16858	2615
4672STDY7623912	mm10-3_0_0	3.0.2	4089	190386	850	778488896	98.60	92.70	98.30	84.60	96.50	98.50	94.30	88.50	4.10	7.30	77.10	74.80	0.70	88.80	17599	2624
4672STDY7623913	mm10-1_2_0	3.0.2	2205	176737	806	389706966	98.70	92.00	98.50	85.20	96.50	98.60	94.50	86.70	5.60	6.20	74.80	72.80	0.60	70.20	15770	2463
4672STDY7623913	mm10-3_0_0	3.0.2	2212	176178	815	389706966	98.70	92.10	98.50	85.20	96.50	98.60	94.50	87.20	5.50	6.10	75.60	73.40	0.70	70.40	16328	2474
4672STDY7623914	mm10-1_2_0	3.0.2	6373	61524	778	392092718	98.70	86.60	98.40	86.10	96.40	98.60	95.00	87.00	3.80	6.10	77.10	75.00	0.70	88.50	16479	2431
4672STDY7623914	mm10-3_0_0	3.0.2	6366	61591	786	392092718	98.70	86.70	98.40	86.10	96.40	98.60	95.00	87.60	3.70	6.00	77.90	75.60	0.70	88.50	17166	2448
4672STDY8112878	mm10-3_0_0	3.0.2	10368	62871	2056	651854968	98.70	60.20	96.80	72.90	91.70	97.10	91.40	85.50	6.80	7.20	71.50	69.50	0.80	88.80	19551	9286
4672STDY8112879	mm10-3_0_0	3.0.2	8906	72151	1613	642581092	98.60	72.30	97.00	72.50	92.30	97.10	91.60	85.00	10.30	5.90	68.80	66.90	0.60	89.90	19324	7333
4672STDY8112880	mm10-3_0_0	3.0.2	10290	62316	1771	641233252	98.50	66.20	96.90	74.40	92.60	96.80	92.30	86.30	9.30	6.50	70.60	68.70	0.70	89.30	19131	7933
4672STDY8112881	mm10-3_0_0	3.0.2	8476	77012	1892	652758620	98.50	68.10	97.00	73.90	92.90	97.00	92.10	86.10	10.70	6.40	68.90	67.00	0.60	88.30	19413	8949
